subject,session,block,problem,un_r1,un_r2,post_2cause
1,1,1,1,19,-30,1
1,1,1,2,54,-45,1
1,1,1,3,55,-38,1
1,1,2,1,45,91,1
1,1,2,2,58,96,1
1,1,2,3,54,95,1
1,1,3,1,50,-43,1
1,1,3,2,50,-49,1
1,1,3,3,50,-47,1
1,1,3,4,49,-50,1
1,1,3,5,50,85,1
1,1,4,1,-14,65,2
1,1,4,2,59,91,2
1,1,4,3,40,95,2
1,1,4,4,45,84,2
1,1,5,1,50,-30,2
1,1,5,2,49,-37,2
1,1,5,3,50,-54,2
1,1,5,4,44,-30,2
1,1,5,5,46,-21,2
1,1,6,1,52,97,2
1,1,6,2,54,97,2
1,1,6,3,51,94,2
1,1,7,1,51,-25,2
1,1,7,2,51,-20,2
1,1,7,3,36,-18,2
1,1,7,4,-18,-44,2
1,1,7,5,28,-34,2
1,2,1,1,55,-42,1
1,2,1,2,53,-28,1
1,2,1,3,40,-43,1
1,2,1,4,22,-29,1
1,2,2,1,49,92,1
1,2,2,2,54,73,1
1,2,2,3,51,92,1
1,2,2,4,53,92,1
1,2,3,1,55,-46,1
1,2,3,2,49,-49,1
1,2,3,3,49,-28,1
1,2,3,4,-41,-73,1
1,2,4,1,49,79,2
1,2,4,2,58,81,2
1,2,4,3,56,74,2
1,2,4,4,55,71,2
1,2,5,1,57,31,2
1,2,5,2,34,-42,2
1,2,5,3,51,-45,2
1,2,6,1,43,89,2
1,2,6,2,-47,-48,2
1,2,6,3,50,82,2
1,2,6,4,47,93,2
1,2,6,5,53,89,2
1,2,7,1,49,-16,2
1,2,7,2,50,-12,2
1,2,7,3,51,-10,2
